PLACEID,CHANGETYPE,ATTRIBUTENAME,PRIMARYCATEGORY,CATEGORYSYSTEMTYPE,ID,PREVIOUSCATEGORYSYSTEMTYPE,PREVIOUSID
0361r4ve-6f763117c80709588369f8643e59eef0,UPDATE,CATEGORY,TRUE,navteq-lcms,700-7400-0293,navteq-lcms,500-5000-0053
036r3gxf-967bfab711b04de4b31dfd6923805977,UPDATE,CATEGORY,TRUE,navteq-lcms,600-6300-0068,navteq-lcms,500-5000-0053
036r3gx2-3aff261be5c2835fea9a56cab35b566e,UPDATE,CATEGORY,TRUE,navteq-lcms,900-9300-0221,navteq-lcms,500-5000-0053
036r3gx2-2e0d5971cda59de161a95435a3d1e546,UPDATE,CATEGORY,TRUE,navteq-lcms,700-7250-0136,navteq-lcms,500-5000-0053
036r3gx2-0d1682b56ec84714b02b463fd457ae1e,UPDATE,CATEGORY,TRUE,navteq-lcms,700-7400-0147,navteq-lcms,300-3000-0000
0363d1e9-34da38e69379678da0ab9aa1108d18d9,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5520-0000,navteq-lcms,300-3000-0000
036r3gr3-838f3dd8d28e6fe01a0832f18827eec3,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5520-0000,navteq-lcms,300-3000-0000
036r3grm-76efb09b2a7e6b06b2eafa70e6f6a35b,UPDATE,CATEGORY,TRUE,navteq-lcms,800-8600-0191,navteq-lcms,300-3000-0000
036r3grm-05790b704970d2554cfd5510c244b279,UPDATE,CATEGORY,TRUE,navteq-lcms,800-8200-0295,navteq-lcms,300-3000-0000
036ba99f-3d1559de28541e9a537c570a6c488659,UPDATE,CATEGORY,TRUE,navteq-lcms,400-4100-0045,navteq-lcms,300-3000-0000
036r652n-6060c3a60d2f918a6ba6f3028f69e059,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5510-0202,navteq-lcms,300-3000-0000
036r3gqm-75b6ac1a9d882e7f664fa83537ce12d6,UPDATE,CATEGORY,TRUE,navteq-lcms,800-8600-0191,navteq-lcms,300-3000-0000
036d408k-16f35bdf9bfd06faa435d7118af29b2a,UPDATE,CATEGORY,TRUE,navteq-lcms,800-8600-0191,navteq,300-3000-0000
036r3gx2-4d4b362a6c1d3f032907534bf91cd01d,UPDATE,CATEGORY,TRUE,navteq-lcms,400-4100-0044,navteq-lcms,300-3000-0000
036r3gqz-832e65727131f0e99fdf4e48396a8184,UPDATE,CATEGORY,TRUE,navteq-lcms,700-7851-0117,navteq-lcms,300-3000-0000
036r3grd-2b1b62296f4d424b8111bed932fd376c,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5520-0000,navteq-lcms,300-3000-0000
036r3gx3-f3bc11b34b584549804d8d6b9fa87678,UPDATE,CATEGORY,TRUE,navteq-lcms,300-3000-0025,navteq-lcms,300-3000-0000
036r3gx2-32cf10f881cd4d96813cccab58b7d762,UPDATE,CATEGORY,TRUE,navteq-lcms,600-6200-0063,navteq-lcms,300-3000-0000
036r3gx8-7bcc14947ae3deae125adeaed74048d1,UPDATE,CATEGORY,TRUE,navteq-lcms,800-8200-0295,navteq-lcms,300-3000-0000
036r3gx2-da9d32d98d7649330b90a116e496da1e,UPDATE,CATEGORY,TRUE,navteq-lcms,300-3000-0025,navteq-lcms,300-3000-0000
036d408k-4e06b6b0eef60ad8cb089ba9ef01aa80,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5510-0202,navteq-lcms,300-3000-0000
036r3gx2-8da00f117286443c655c7468865d1b6e,UPDATE,CATEGORY,true ,navteq-lcms,300-3000-0025,navteq-lcms,300-3000-0000
036r3gx2-e8cf54fc4f57be360214dd704b1c3eb0,UPDATE,CATEGORY,TRUE,navteq-lcms,300-3000-0025,navteq-lcms,300-3000-0000
036r3gqr-83eed1177252458d9973a6ef2cdb3570,UPDATE,CATEGORY,TRUE,navteq-lcms,600-6900-0094,navteq-lcms,300-3000-0000
036r3gx1-af97ecb45b772992659300257556d1b6,UPDATE,CATEGORY,TRUE,navteq-lcms,300-3000-0025,navteq-lcms,300-3000-0000
036r3gx2-57eab5846a4d4951ae8d62fb5ab2b318,UPDATE,CATEGORY,TRUE,navteq-lcms,700-7400-0133,navteq-lcms,300-3000-0000
036r3gr5-09535e3ca2cd8cda4588a7c44c1c77ca,UPDATE,CATEGORY,TRUE,navteq-lcms,700-7400-0133,navteq-lcms,300-3000-0000
036r3gx2-f619bc13c8f317099f7594a6e5dd7bc8,UPDATE,CATEGORY,TRUE,navteq-lcms,700-7400-0133,navteq-lcms,300-3000-0000
036r6584-780869a4e5bf41f89fbf2b32c3631b42,UPDATE,CATEGORY,TRUE,navteq-lcms,800-8600-0183,navteq-lcms,300-3000-0000
,UPDATE,CATEGORY,TRUE,navteq-lcms,700-7250-0136,navteq-lcms,300-3000-0000
036r3gqr-f8f650ace9e12db61ab2e16ea91e2178,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5520-0000,navteq-lcms,300-3000-0000
036r3gxf-a6bbfcd06278fe82055dcd65d709ae74,UPDATE,CATEGORY,TRUE,navteq-lcms,800-8600-0191,navteq-lcms,300-3000-0000
036r3gqu-0aef16d529f94655b70ce23ec3235157,UPDATE,,TRUE,navteq-lcms,550-5520-0000,navteq-lcms,300-3000-0000
036r3gx2-7ba69ea511bd4a6ca960f4936a18915b,UPDATE,CATEGORY,TRUE,navteq-lcms,300-3000-0023,navteq-lcms,300-3000-0000
036r3gx2-5283e70bb5c84ba9af9c856e7a268ff7,UPDATE,CATEGORY,TRUE,navteq-lcms,300-3000-0025,navteq-lcms,300-3000-0000
0363f14f-10bee24f05585ca53a290453fa3ec481,UPDATE,CATEGORY,TRUE,navteq-lcms,300-3100-0000,navteq-lcms,300-3000-0000
036a9437-1d7980c5821d734d047eee95a5dbc4aa,UPDATE,CATEGORY,TRUE,navteq-lcms,200-2000-0011,navteq-lcms,300-3000-0000
0368e36e-ea110e79a0a3220197c45034b84b9450,UPDATE,CATEGORY,TRUE,navteq-lcms,600-6900-0094,navteq-lcms,300-3000-0000
036r3gx2-87c321d980ba4ce91dbf07ce106be82f,UPDATE,CATEGORY,TRUE,navteq-lcms,300-3000-0000,navteq-lcms,550-5520-0000
036r3gqy-5d79a87ba79fd2a57d4fec3993ac42dc,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5510-0202,navteq-lcms,550-5520-0000
036r3gx1-0f132cc3dbe0c02e4c35c0e2a672e98a,UPDATE,CATEGORY,TRUE,navteq-lcms,300-3000-0000,navteq-lcms,550-5520-0000
036r3gx0-8489876cc7da86f18d0195c34cd5a2f7,UPDATE,CATEGORY,TRUE,navteq-lcms,700-7250-0136,navteq-lcms,550-5520-0000
036r3gx2-891448dea484a476b228d736280aaf33,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5510-0242,navteq-lcms,550-5520-0000
036r3gx9-9890773f494d4c2685f15f493dc01eb9,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5510-0202,navteq-lcms,550-5520-0000
036r3gnj-2cd22ee2ab66bdc87e5047add670cd4d,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5510-0202,navteq-lcms,550-5520-0000
036r3grg-305bcfd08e15806ca22c31f3b7b0e02d,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5510-0203,navteq-lcms,550-5520-0000
03609d01-9a7d3aa3eb77e8acb14c413d3cb0c905,UPDATE,CATEGORY,TRUE,navteq-lcms,800-8200-0295,navteq-lcms,550-5520-0000
036r3gwc-5146c7e1625517362c6f1d387fb37c9e,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5510-0202,navteq-lcms,550-5520-0000
036r3gqq-5698334009d348758eb2abc59de9fb10,UPDATE,CATEGORY,TRUE,navteq-lcms,700-7250-0136,navteq-lcms,550-5520-0000
036r3gx2-df3b9505a18811e0e3da4aaedc9a39a4,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5510-0202,navteq-lcms,550-5520-0000
036r3gpv-358d819f47314fdfa7637ed4575bdb90,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5510-0202,navteq-lcms,550-5520-0000
036r3gx4-8fb1f4cfd296b8bf3c03991713839008,UPDATE,CATEGORY,TRUE,navteq-lcms,300-3000-0023,navteq-lcms,550-5520-0000
036r3gx2-a5ce928a1d24ae33af8acfb63fc995a8,UPDATE,CATEGORY,TRUE,navteq-lcms,300-3000-0023,navteq-lcms,550-5520-0000
036r3grm-725ee26e8b4726a4900992ee40e604d3,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5510-0203,navteq-lcms,550-5520-0000
036r3gx2-aa2b4123e653be668abc375c295a89e3,UPDATE,CATEGORY,TRUE,navteq-lcms,300-3000-0023,navteq-lcms,550-5520-0000
036r6587-e6b62a1b6989fabd30573ff04c4cbb5c,UPDATE,CATEGORY,TRUE,navteq-lcms,700-7250-0136,navteq-lcms,550-5520-0000
036r3gx0-9c952c843168a6cf84426215732d332d,UPDATE,CATEGORY,TRUE,navteq-lcms,800-8100-0164,navteq-lcms,550-5520-0000
036r652j-59f358ddefeb552994c37697029b31a9,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5510-0202,navteq-lcms,550-5520-0000
036r3gqw-73d3fb5c66c3a0a9b87787a766e7b7df,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5510-0202,navteq-lcms,550-5520-0000
036r3gqz-f4f90500618f4291a958f7fb09eeeebc,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5510-0202,navteq-lcms,550-5520-0000
036r652x-7343d2e70bfdace7ee77ae96817dc389,UPDATE,CATEGORY,TRUE,navteq-lcms,Tourist Attraction,navteq-lcms,550-5520-0000
036r3gqq-7d1b875f01cc4b2b81120b848256fd17,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5510-0202,navteq-lcms,550-5520-0000
036r3gx4-ee104b498712d8c01fe58f6743b5f491,UPDATE,CATEGORY,TRUE,navteq-lcms,300-3000-0023,navteq-lcms,550-5520-0000
036d408k-f851b1dbfc4c002134cbc42eed886c4f,UPDATE,CATEGORY,TRUE,navteq-lcms,700-7200-0270,navteq-lcms,550-5520-0000
036r3gx3-7cdba976d3f74d59975f3152c3db3ca9,UPDATE,CATEGORY,TRUE,navteq-lcms,550-5510-0242,navteq-lcms,550-5520-0000
